S,Cs,Lx,Lx_std,r2x,aic_exp_x,aic_pow_x,daic_x,Ly,Ly_std,r2y,aic_exp_y,aic_pow_y,daic_y,ratio
2.0,0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.0,0.15000000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.0,0.2,5.320592787957375,0.4496899577773856,0.5878171721947327,-9.899899423095233,nan,nan,nan,0.0,nan,nan,nan,nan,nan
5.0,0.25,4.121470184921995,0.9991685277828118,0.8016056701653798,-13.67816444872047,-8.272782283559959,-5.4053821651605105,nan,32.02678060803346,nan,nan,-3.3980268780080927,nan,nan
6.0,0.30000000000000004,7.7092522747367305,20.06207347956096,0.6132331806517048,-18.116299246341192,-14.656819803483398,-3.459479442857795,nan,18.290977098982637,nan,nan,-2.4730760051485303,nan,nan
8.0,0.4,11.578818482469604,5.2869216045372855,0.37526561993245644,-18.423881733052006,-19.81384599548356,1.3899642624315547,23.412720048755297,5.9725821559092775,0.37441075069625984,-23.327360108545612,-23.520350213889785,0.1929901053441725,0.4945524679899453
10.0,0.5,11.243095695022378,7.863854362726919,0.5215248273132764,-24.853835037346887,-18.66374009095383,-6.190094946393057,15.541015370058389,2.3721935146697577,0.5344850081038923,-23.020206351879,-41.568513492830135,18.548307140951135,0.7234466620941342
13.0,0.65,2.623498432558583,8.374900101507807,0.9668245351010273,-32.15260710360957,-3.318590087367772,-28.834017016241795,3.161524084351565,8.030166521505338,0.9797685962406655,-44.83174114519017,-35.859377944337396,-8.972363200852776,0.8298207960976732
17.0,0.8500000000000001,3.6411145605958373,0.16117913964164338,0.9656208586099151,-44.316922882307935,5.539325584066166,-49.8562484663741,3.664716104586949,0.13589431510318592,0.9896197413624518,-69.01723900964285,-20.60830420954239,-48.40893480010046,0.9935597892667399
20.0,1.0,4.684572705794267,0.1795423675956266,0.9862898818761153,-73.20621692581597,-2.9875851452594047,-70.21863178055656,4.097337134665079,0.15954096724666042,0.9817264161080653,-62.00951913326456,-22.41537377975223,-39.59414535351233,1.1433212722870532
25.0,1.25,5.619642679770854,0.33238739498750064,0.9695513665847089,-64.18547477509976,-19.728632610299716,-44.45684216480005,4.693479316878905,0.3491446883322087,0.9851042918674302,-71.5993590784516,-35.52980883576102,-36.06955024269058,1.1973298059631876
30.0,1.5,6.779414996750831,0.20893658336519805,0.9630596447052486,-74.43371659738494,-31.692831214996865,-42.74088538238808,6.093076847998208,0.5255352691909891,0.9789424607503538,-83.55692152453534,-43.69687780892383,-39.86004371561151,1.1126422931918396
40.0,2.0,7.718246769225088,0.37434180270633893,0.9783349142550695,-103.42844400566163,-96.1060316153747,-7.322412390286928,7.9760663626527295,0.4137664525413837,0.9693357236352844,-94.7008098902835,-33.101300235139966,-61.59950965514353,0.9676758465006183
50.0,2.5,8.993406105647724,0.527857473298288,0.9491809263266189,-86.11803808544467,-90.47465217428658,4.3566140888419085,10.051547346568857,0.6032041902626184,0.9250364867818406,-80.35725402369168,-28.024823376443585,-52.332430647248096,0.8947285224416384
70.0,3.5,10.151811037185084,0.47788235557146835,0.923409988885519,-83.49783290357725,-118.93090877989792,35.43307587632067,15.66635724889059,1.3769559790939392,0.8361276994411526,-85.61991780270458,-32.76739060609444,-52.85252719661014,0.6480007366041638
100.0,5.0,10.557731287287977,1.4146644230854917,0.8139913791034677,-52.204915966731825,-118.99973173722293,66.79481577049111,14.633443305222986,6.769410985663731,0.5690989451450903,-35.852555834738716,-6.978128376377494,-28.87442745836122,0.721479631763749
150.0,7.5,6.5773309895940555,1.7963468011497208,0.7865225988697644,-27.34587575248025,-82.96276276090045,55.61688700842019,4.559382347214884,3.6738030167125935,0.5826500014560003,-2.619445955043912,-9.058509210953156,6.439063255909244,1.442592546249569
200.0,10.0,3.8439056425931026,0.8915370177865962,0.8724788923982577,-21.33942570768044,-93.59190569328668,72.25247998560624,3.01556631403692,0.7629972763884008,0.5107497391753661,14.216177021912491,8.71739971433642,5.498777307576072,1.2746878172436173
300.0,15.0,3.85050694984228,0.9096161496655483,0.8720545404141502,-21.333771799002392,-95.92343530640288,74.58966350740049,3.0141731650953485,0.7689637356760279,0.5097717431575517,14.283906483073565,9.342267730705839,4.9416387523677265,1.2774670660703316
400.0,20.0,3.85577612532532,0.9809886948166199,0.8704310464882649,-21.157708642849503,-94.92160607818099,73.76389743533149,3.0048459839753563,0.7771667246327395,0.5124768990767112,14.219121040613963,8.770645453849323,5.448475586764641,1.283185942270558
500.0,25.0,3.8550318136617476,0.9559016181787828,0.8716834732012693,-21.319181128523386,-95.31844434357465,73.99926321505127,3.0179764759273446,0.7534745613027576,0.51455566389417,13.980537847370837,7.728755169957623,6.251782677413214,1.277356481871582
700.0,35.0,3.8491848555544625,0.8918383008716483,0.8713818922585901,-21.233241842890244,-95.07373967786637,73.84049783497613,3.0170764242491526,0.7670262709926615,0.5130002652626171,14.076058121462491,6.6554653576612655,7.420592763801226,1.2757995868508347
1000.0,50.0,3.8486992068751675,0.9640814259989192,0.8696586756048534,-21.00012904262386,-95.35890925298946,74.35878021036561,2.980205777124589,0.7526480488969008,0.5162711305913437,14.23701825614845,9.488230332147271,4.74878792400118,1.2914206248497824
1500.0,75.0,3.852823228844172,0.9682625805841243,0.8713232992777982,-21.25374494751948,-94.72664790790284,73.47290296038337,3.0042386437115036,0.7633189009251967,0.5162104755752426,14.015527512217355,8.643268086021795,5.37225942619556,1.282462442492354
2000.0,100.0,3.8543458231017094,0.9679815885133323,0.8713932379714079,-21.2749572976791,-94.24037539653784,72.96541809885875,3.026780885864596,0.7750488275748658,0.5063884324233395,14.35654761620737,7.727679955965476,6.6288676602418946,1.2734142207326384
